4
 
C1s
 ,1,2,3,4
298.0000,2731.2500,2718.7500,2443.7500,2637.5000
297.9000,2600.0000,2562.5000,2612.5000,2600.0000
297.8000,2943.7500,2656.2500,2456.2500,2800.0000
297.7000,2787.5000,2462.5000,2643.7500,2506.2500
297.6000,2675.0000,2531.2500,2425.0000,2743.7500
297.5000,2768.7500,2462.5000,2793.7500,2262.5000
297.4000,2881.2500,2718.7500,2625.0000,2743.7500
297.3000,2650.0000,2725.0000,2337.5000,2700.0000
297.2000,2837.5000,2681.2500,2706.2500,2712.5000
297.1000,2775.0000,2706.2500,2443.7500,2425.0000
297.0000,2862.5000,2712.5000,2500.0000,2643.7500
296.9000,2468.7500,2462.5000,2393.7500,2437.5000
296.8000,2881.2500,2818.7500,2562.5000,2593.7500
296.7000,2537.5000,2731.2500,2550.0000,2487.5000
296.6000,2587.5000,2625.0000,2706.2500,2700.0000
296.5000,2718.7500,2818.7500,2537.5000,2587.5000
296.4000,2800.0000,2475.0000,2668.7500,2687.5000
296.3000,2843.7500,2681.2500,2775.0000,2400.0000
296.2000,2812.5000,2656.2500,2575.0000,2781.2500
296.1000,2743.7500,2475.0000,2981.2500,2400.0000
296.0000,2712.5000,2593.7500,2662.5000,2687.5000
295.9000,2818.7500,2425.0000,2643.7500,2400.0000
295.8000,2643.7500,2743.7500,2281.2500,2656.2500
295.7000,3006.2500,2450.0000,2706.2500,2375.0000
295.6000,2675.0000,2537.5000,2437.5000,2531.2500
295.5000,3012.5000,2512.5000,2775.0000,2406.2500
295.4000,2750.0000,2743.7500,2543.7500,2556.2500
295.3000,2800.0000,2731.2500,2837.5000,2675.0000
295.2000,2600.0000,2806.2500,2343.7500,2387.5000
295.1000,2912.5000,2637.5000,2737.5000,2493.7500
295.0000,2700.0000,2687.5000,2456.2500,2500.0000
294.9000,2637.5000,2706.2500,2581.2500,2518.7500
294.8000,2612.5000,2568.7500,2643.7500,2525.0000
294.7000,2500.0000,2793.7500,2650.0000,2462.5000
294.6000,2812.5000,2431.2500,2612.5000,2481.2500
294.5000,2687.5000,2587.5000,2625.0000,2531.2500
294.4000,2750.0000,2737.5000,2481.2500,2481.2500
294.3000,2812.5000,2881.2500,2743.7500,2562.5000
294.2000,2750.0000,2712.5000,2606.2500,2406.2500
294.1000,2681.2500,2562.5000,2825.0000,2743.7500
294.0000,2512.5000,2631.2500,2600.0000,2650.0000
293.9000,2562.5000,2612.5000,2656.2500,2593.7500
293.8000,2400.0000,2612.5000,2662.5000,2562.5000
293.7000,2612.5000,2518.7500,2381.2500,2512.5000
293.6000,2700.0000,3031.2500,2618.7500,2587.5000
293.5000,2712.5000,2762.5000,2506.2500,2450.0000
293.4000,2787.5000,2668.7500,2643.7500,2462.5000
293.3000,2631.2500,2525.0000,2612.5000,2418.7500
293.2000,2575.0000,2787.5000,2575.0000,2406.2500
293.1000,2687.5000,2718.7500,2531.2500,2418.7500
293.0000,2587.5000,2656.2500,2706.2500,2487.5000
292.9000,2731.2500,2431.2500,2618.7500,2325.0000
292.8000,2268.7500,2650.0000,2431.2500,2581.2500
292.7000,2875.0000,2681.2500,2456.2500,2393.7500
292.6000,2518.7500,2812.5000,2662.5000,2506.2500
292.5000,2887.5000,2643.7500,2493.7500,2525.0000
292.4000,2506.2500,2781.2500,2518.7500,2531.2500
292.3000,2593.7500,2643.7500,2300.0000,2543.7500
292.2000,2487.5000,2512.5000,2612.5000,2562.5000
292.1000,2618.7500,2837.5000,2418.7500,2543.7500
292.0000,2587.5000,2606.2500,2618.7500,2712.5000
291.9000,2681.2500,2637.5000,2425.0000,2312.5000
291.8000,2700.0000,2731.2500,2681.2500,2706.2500
291.7000,2768.7500,2725.0000,2350.0000,2431.2500
291.6000,2568.7500,2493.7500,2493.7500,2562.5000
291.5000,2806.2500,2600.0000,2325.0000,2475.0000
291.4000,2512.5000,2768.7500,2581.2500,2700.0000
291.3000,2731.2500,2556.2500,2368.7500,2331.2500
291.2000,2587.5000,2700.0000,2487.5000,2562.5000
291.1000,2556.2500,2656.2500,2300.0000,2531.2500
291.0000,2687.5000,2631.2500,2518.7500,2431.2500
290.9000,2731.2500,2643.7500,2556.2500,2618.7500
290.8000,2856.2500,2506.2500,2518.7500,2575.0000
290.7000,2743.7500,2768.7500,2325.0000,2393.7500
290.6000,2700.0000,2637.5000,2625.0000,2243.7500
290.5000,2868.7500,2768.7500,2587.5000,2425.0000
290.4000,2787.5000,2618.7500,2556.2500,2537.5000
290.3000,3187.5000,2668.7500,2568.7500,2693.7500
290.2000,2968.7500,2562.5000,2537.5000,2762.5000
290.1000,3093.7500,2631.2500,2443.7500,2556.2500
290.0000,2875.0000,2731.2500,2637.5000,2750.0000
289.9000,3225.0000,2787.5000,2368.7500,2425.0000
289.8000,2993.7500,2775.0000,2631.2500,2475.0000
289.7000,3212.5000,2443.7500,2562.5000,2362.5000
289.6000,3100.0000,2581.2500,2643.7500,2456.2500
289.5000,3056.2500,2681.2500,2368.7500,2475.0000
289.4000,3543.7500,2662.5000,2693.7500,2512.5000
289.3000,3543.7500,2675.0000,2412.5000,2575.0000
289.2000,3456.2500,2568.7500,2737.5000,2631.2500
289.1000,3293.7500,2687.5000,2462.5000,2618.7500
289.0000,3500.0000,2387.5000,2456.2500,2668.7500
288.9000,3368.7500,2662.5000,2643.7500,2518.7500
288.8000,3275.0000,2531.2500,2756.2500,2537.5000
288.7000,3043.7500,2650.0000,2362.5000,2656.2500
288.6000,3243.7500,2687.5000,2468.7500,2593.7500
288.5000,3175.0000,2768.7500,2531.2500,2500.0000
288.4000,3256.2500,2512.5000,2493.7500,2587.5000
288.3000,3237.5000,2700.0000,2518.7500,2556.2500
288.2000,3100.0000,2650.0000,2550.0000,2581.2500
288.1000,3262.5000,2781.2500,2350.0000,2525.0000
288.0000,3200.0000,2581.2500,2606.2500,2681.2500
287.9000,3281.2500,2506.2500,2425.0000,2587.5000
287.8000,3343.7500,2456.2500,2556.2500,2443.7500
287.7000,3481.2500,2700.0000,2500.0000,2418.7500
287.6000,3625.0000,2681.2500,2437.5000,2618.7500
287.5000,3550.0000,2581.2500,2306.2500,2393.7500
287.4000,4043.7500,2812.5000,2468.7500,2462.5000
287.3000,3881.2500,2700.0000,2500.0000,2850.0000
287.2000,4187.5000,2750.0000,2468.7500,2406.2500
287.1000,4287.5000,2668.7500,2568.7500,2656.2500
287.0000,4575.0000,2856.2500,2425.0000,2462.5000
286.9000,4612.5000,2631.2500,2293.7500,2368.7500
286.8000,5106.2500,2568.7500,2537.5000,2737.5000
286.7000,5250.0000,2562.5000,2706.2500,2800.0000
286.6000,5468.7500,2906.2500,2800.0000,2687.5000
286.5000,5393.7500,2862.5000,2500.0000,2475.0000
286.4000,6187.5000,2900.0000,2393.7500,2862.5000
286.3000,6550.0000,2818.7500,2475.0000,2681.2500
286.2000,6956.2500,2893.7500,2550.0000,2718.7500
286.1000,7600.0000,2837.5000,2475.0000,2718.7500
286.0000,8068.7500,2887.5000,2731.2500,2637.5000
285.9000,8681.2500,2906.2500,2550.0000,2625.0000
285.8000,9068.7500,2993.7500,2500.0000,2587.5000
285.7000,9856.2500,2868.7500,2381.2500,2525.0000
285.6000,10412.5000,2862.5000,2393.7500,2825.0000
285.5000,11175.0000,2775.0000,2350.0000,2487.5000
285.4000,10775.0000,2937.5000,2375.0000,2725.0000
285.3000,11743.7500,2537.5000,2556.2500,2575.0000
285.2000,11562.5000,2850.0000,2637.5000,2512.5000
285.1000,11750.0000,2600.0000,2493.7500,2587.5000
285.0000,10687.5000,2756.2500,2481.2500,2650.0000
284.9000,10500.0000,2656.2500,2512.5000,2587.5000
284.8000,9731.2500,2775.0000,2662.5000,2581.2500
284.7000,9350.0000,2912.5000,2418.7500,2743.7500
284.6000,8831.2500,2806.2500,2700.0000,2443.7500
284.5000,8031.2500,2793.7500,2462.5000,2787.5000
284.4000,7306.2500,2706.2500,2500.0000,2531.2500
284.3000,6825.0000,2675.0000,2662.5000,2618.7500
284.2000,5993.7500,2687.5000,2500.0000,2643.7500
284.1000,5456.2500,2681.2500,2543.7500,2493.7500
284.0000,4912.5000,2887.5000,2518.7500,2475.0000
283.9000,4412.5000,2700.0000,2656.2500,2625.0000
283.8000,4118.7500,2731.2500,2662.5000,2487.5000
283.7000,3787.5000,2637.5000,2643.7500,2737.5000
283.6000,3818.7500,2693.7500,2362.5000,2687.5000
283.5000,3481.2500,2850.0000,2775.0000,2687.5000
283.4000,3268.7500,2975.0000,2687.5000,2718.7500
283.3000,3281.2500,2562.5000,2693.7500,2750.0000
283.2000,2987.5000,2850.0000,2756.2500,2631.2500
283.1000,2937.5000,2725.0000,2868.7500,2843.7500
283.0000,2712.5000,3175.0000,2625.0000,2912.5000
282.9000,2825.0000,2775.0000,2993.7500,2787.5000
282.8000,2506.2500,3293.7500,2843.7500,2668.7500
282.7000,2937.5000,3125.0000,3212.5000,2850.0000
282.6000,2656.2500,3362.5000,2762.5000,2893.7500
282.5000,2937.5000,3100.0000,3031.2500,3150.0000
282.4000,2531.2500,3531.2500,3125.0000,2868.7500
282.3000,2556.2500,3256.2500,3012.5000,2887.5000
282.2000,2512.5000,3112.5000,3043.7500,2918.7500
282.1000,2500.0000,2950.0000,3175.0000,2956.2500
282.0000,2481.2500,3093.7500,2706.2500,2956.2500
281.9000,2375.0000,2931.2500,2837.5000,2843.7500
281.8000,2325.0000,2806.2500,2937.5000,2737.5000
281.7000,2368.7500,3106.2500,2625.0000,2925.0000
281.6000,2412.5000,2687.5000,2918.7500,2356.2500
281.5000,2437.5000,2768.7500,2568.7500,2862.5000
281.4000,2318.7500,2568.7500,2631.2500,2418.7500
281.3000,2662.5000,2581.2500,2481.2500,2543.7500
281.2000,2231.2500,2393.7500,2437.5000,2287.5000
281.1000,2437.5000,2612.5000,2387.5000,2631.2500
281.0000,2218.7500,2487.5000,2681.2500,2343.7500
280.9000,2243.7500,2593.7500,2493.7500,2543.7500
280.8000,2212.5000,2487.5000,2593.7500,2362.5000
280.7000,2493.7500,2487.5000,2706.2500,2543.7500
280.6000,2156.2500,2393.7500,2775.0000,2443.7500
280.5000,2425.0000,2425.0000,2681.2500,2631.2500
280.4000,2200.0000,2281.2500,2543.7500,2643.7500
280.3000,2468.7500,2312.5000,2437.5000,2581.2500
280.2000,2337.5000,2543.7500,2712.5000,2637.5000
280.1000,2575.0000,2500.0000,2568.7500,2631.2500
280.0000,2350.0000,2456.2500,2518.7500,2662.5000
279.9000,2418.7500,2506.2500,2481.2500,2725.0000
279.8000,2475.0000,2662.5000,2675.0000,2731.2500
279.7000,2331.2500,2268.7500,2537.5000,2762.5000
279.6000,2118.7500,2462.5000,2381.2500,2550.0000
279.5000,2225.0000,2487.5000,2587.5000,2637.5000
279.4000,2206.2500,2487.5000,2593.7500,2475.0000
279.3000,2281.2500,2606.2500,2512.5000,2675.0000
279.2000,2268.7500,2650.0000,2406.2500,2637.5000
279.1000,2375.0000,2393.7500,2487.5000,2525.0000
279.0000,2418.7500,2431.2500,2587.5000,2525.0000
278.9000,2387.5000,2525.0000,2575.0000,2618.7500
278.8000,2156.2500,2456.2500,2487.5000,2468.7500
278.7000,2256.2500,2456.2500,2693.7500,2281.2500
278.6000,2156.2500,2562.5000,2487.5000,2575.0000
278.5000,2487.5000,2475.0000,2512.5000,2568.7500
278.4000,2300.0000,2581.2500,2500.0000,2487.5000
278.3000,2193.7500,2337.5000,2537.5000,2562.5000
278.2000,2306.2500,2718.7500,2650.0000,2631.2500
278.1000,2300.0000,2268.7500,2512.5000,2637.5000
278.0000,2143.7500,2712.5000,2525.0000,2506.2500

4
 
N1s
 ,1,2,3,4
411.0000,3556.2500,4793.7500,4506.2500,4281.2500
410.9000,3618.7500,4412.5000,4643.7500,4693.7500
410.8000,3718.7500,4600.0000,4718.7500,4237.5000
410.7000,3400.0000,4218.7500,4300.0000,4387.5000
410.6000,3537.5000,4450.0000,4362.5000,4431.2500
410.5000,3368.7500,4393.7500,4143.7500,4518.7500
410.4000,3637.5000,4612.5000,4275.0000,4287.5000
410.3000,3525.0000,4606.2500,4381.2500,4093.7500
410.2000,3612.5000,4668.7500,3837.5000,4406.2500
410.1000,3756.2500,4656.2500,4593.7500,4262.5000
410.0000,3781.2500,4256.2500,4325.0000,4368.7500
409.9000,3356.2500,4568.7500,4212.5000,4212.5000
409.8000,3600.0000,4506.2500,4193.7500,4193.7500
409.7000,3525.0000,4531.2500,4512.5000,4281.2500
409.6000,3718.7500,4287.5000,4337.5000,4193.7500
409.5000,3700.0000,4468.7500,4612.5000,4093.7500
409.4000,3793.7500,4750.0000,4331.2500,4231.2500
409.3000,3662.5000,4456.2500,4281.2500,4318.7500
409.2000,3750.0000,4656.2500,4387.5000,4312.5000
409.1000,3818.7500,4393.7500,4506.2500,4262.5000
409.0000,3612.5000,4431.2500,4175.0000,4512.5000
408.9000,3675.0000,4237.5000,4387.5000,4243.7500
408.8000,3818.7500,4693.7500,4306.2500,4137.5000
408.7000,3550.0000,4418.7500,4537.5000,4175.0000
408.6000,3462.5000,4656.2500,3975.0000,4037.5000
408.5000,3487.5000,4181.2500,4162.5000,4293.7500
408.4000,3581.2500,4406.2500,4325.0000,4137.5000
408.3000,3343.7500,4425.0000,4312.5000,4162.5000
408.2000,3681.2500,4475.0000,4300.0000,3962.5000
408.1000,3525.0000,4281.2500,4262.5000,3868.7500
408.0000,3668.7500,4212.5000,4281.2500,4075.0000
407.9000,3812.5000,4100.0000,3937.5000,3850.0000
407.8000,3493.7500,4087.5000,4056.2500,3743.7500
407.7000,3281.2500,4212.5000,4212.5000,3775.0000
407.6000,3543.7500,3856.2500,3856.2500,4156.2500
407.5000,3231.2500,3900.0000,4081.2500,3937.5000
407.4000,3587.5000,3812.5000,3643.7500,4012.5000
407.3000,3225.0000,3837.5000,3875.0000,3881.2500
407.2000,3375.0000,3806.2500,3993.7500,4018.7500
407.1000,3112.5000,3831.2500,3587.5000,3800.0000
407.0000,3368.7500,4006.2500,3675.0000,3712.5000
406.9000,3250.0000,3750.0000,3575.0000,3662.5000
406.8000,3168.7500,3906.2500,3781.2500,3550.0000
406.7000,3262.5000,3906.2500,3681.2500,3656.2500
406.6000,3100.0000,3843.7500,3556.2500,3687.5000
406.5000,3381.2500,3775.0000,3662.5000,3418.7500
406.4000,3125.0000,3706.2500,3837.5000,3737.5000
406.3000,3300.0000,3781.2500,3593.7500,3768.7500
406.2000,3187.5000,3756.2500,3612.5000,3431.2500
406.1000,3193.7500,3881.2500,3818.7500,3881.2500
406.0000,3131.2500,3625.0000,3800.0000,3406.2500
405.9000,2893.7500,3612.5000,3475.0000,3825.0000
405.8000,3306.2500,3587.5000,3600.0000,3687.5000
405.7000,3056.2500,3368.7500,3343.7500,3412.5000
405.6000,3081.2500,3587.5000,3387.5000,3593.7500
405.5000,3075.0000,3450.0000,3231.2500,3531.2500
405.4000,3031.2500,3693.7500,3287.5000,3487.5000
405.3000,3025.0000,3475.0000,3487.5000,3450.0000
405.2000,3081.2500,3550.0000,3275.0000,3487.5000
405.1000,2881.2500,3337.5000,3343.7500,3712.5000
405.0000,3056.2500,3506.2500,3425.0000,3381.2500
404.9000,3081.2500,3162.5000,3437.5000,3537.5000
404.8000,2893.7500,3562.5000,3337.5000,3243.7500
404.7000,2943.7500,3512.5000,3575.0000,3650.0000
404.6000,3100.0000,3556.2500,3518.7500,3468.7500
404.5000,3025.0000,3343.7500,3431.2500,3487.5000
404.4000,3087.5000,3543.7500,3700.0000,3450.0000
404.3000,2837.5000,3443.7500,3581.2500,3237.5000
404.2000,3012.5000,3318.7500,3500.0000,3231.2500
404.1000,2812.5000,3381.2500,3337.5000,3418.7500
404.0000,3156.2500,3600.0000,3462.5000,3306.2500
403.9000,2900.0000,3625.0000,3612.5000,3225.0000
403.8000,3012.5000,3562.5000,3600.0000,3468.7500
403.7000,2987.5000,3512.5000,3318.7500,3437.5000
403.6000,2725.0000,3581.2500,3281.2500,3512.5000
403.5000,2856.2500,3556.2500,3406.2500,3518.7500
403.4000,2912.5000,3412.5000,3443.7500,3518.7500
403.3000,2931.2500,3381.2500,3562.5000,3568.7500
403.2000,2768.7500,3418.7500,3175.0000,3668.7500
403.1000,2931.2500,3493.7500,3606.2500,3381.2500
403.0000,2868.7500,3375.0000,3300.0000,3550.0000
402.9000,2843.7500,3581.2500,3506.2500,3362.5000
402.8000,2975.0000,3450.0000,3443.7500,3631.2500
402.7000,2981.2500,3800.0000,3493.7500,3456.2500
402.6000,2837.5000,3487.5000,3118.7500,3593.7500
402.5000,2912.5000,3956.2500,3387.5000,3525.0000
402.4000,2956.2500,3543.7500,3318.7500,3625.0000
402.3000,3000.0000,3893.7500,3456.2500,3800.0000
402.2000,2937.5000,3725.0000,3412.5000,3875.0000
402.1000,3168.7500,3850.0000,3512.5000,3593.7500
402.0000,2943.7500,3500.0000,3856.2500,3975.0000
401.9000,3325.0000,3675.0000,3656.2500,3606.2500
401.8000,2887.5000,3675.0000,3981.2500,4112.5000
401.7000,3400.0000,3800.0000,3843.7500,3762.5000
401.6000,3268.7500,4050.0000,4043.7500,4431.2500
401.5000,3387.5000,3962.5000,3968.7500,4000.0000
401.4000,3568.7500,4137.5000,4050.0000,4343.7500
401.3000,3287.5000,4143.7500,3962.5000,3843.7500
401.2000,3375.0000,4156.2500,4168.7500,4475.0000
401.1000,3312.5000,4225.0000,4087.5000,4325.0000
401.0000,3400.0000,4312.5000,4293.7500,4562.5000
400.9000,3681.2500,4562.5000,4225.0000,4256.2500
